# Canonical casing mined from Tatoeba: words written capitalized in >=90% of
# mid-sentence occurrences (>=25 seen). 'lower<TAB>Canonical' per line.
a's	A's
miranda	Miranda
mitchell	Mitchell
monica	Monica
morgan	Morgan
naomi	Naomi
natalie	Natalie
nathan	Nathan
nathaniel	Nathaniel
neil	Neil
nicholas	Nicholas
nicole	Nicole
nina	Nina
nolan	Nolan
norman	Norman
oliver	Oliver
owen	Owen
pamela	Pamela
patricia	Patricia
patrick	Patrick
paula	Paula
peggy	Peggy
philip	Philip
phillip	Phillip
phoebe	Phoebe
phyllis	Phyllis
ralph	Ralph
raymond	Raymond
rebecca	Rebecca
regina	Regina
renee	Renee
rick	Rick
ricky	Ricky
riley	Riley
rita	Rita
roberto	Roberto
rodney	Rodney
ronald	Ronald
rosa	Rosa
ross	Ross
roy	Roy
russell	Russell
ruth	Ruth
ryan	Ryan
sabrina	Sabrina
sally	Sally
samantha	Samantha
samuel	Samuel
sean	Sean
sebastian	Sebastian
seth	Seth
shannon	Shannon
sharon	Sharon
shawn	Shawn
sheila	Sheila
shelby	Shelby
shirley	Shirley
sidney	Sidney
sophia	Sophia
sophie	Sophie
spencer	Spencer
stacy	Stacy
stanley	Stanley
stephanie	Stephanie
steven	Steven
stuart	Stuart
suzanne	Suzanne
sylvia	Sylvia
tanya	Tanya
tara	Tara
ted	Ted
tiffany	Tiffany
timothy	Timothy
tina	Tina
toby	Toby
todd	Todd
tommy	Tommy
tracy	Tracy
travis	Travis
trevor	Trevor
tristan	Tristan
tyler	Tyler
valerie	Valerie
vanessa	Vanessa
veronica	Veronica
vincent	Vincent
vivian	Vivian
walter	Walter
wayne	Wayne
wendy	Wendy
wesley	Wesley
whitney	Whitney
xavier	Xavier
yvonne	Yvonne
zachary	Zachary
zoe	Zoe
jeff	Jeff
amber	Amber
bobby	Bobby
crystal	Crystal
dale	Dale
graham	Graham
heather	Heather
holly	Holly
hunter	Hunter
jack	Jack
jake	Jake
jasmine	Jasmine
jay	Jay
jimmy	Jimmy
joey	Joey
josh	Josh
kelly	Kelly
lily	Lily
mark	Mark
mason	Mason
mike	Mike
molly	Molly
nick	Nick
randy	Randy
robin	Robin
terry	Terry
victor	Victor
alabama	Alabama
albuquerque	Albuquerque
anaheim	Anaheim
anchorage	Anchorage
arkansas	Arkansas
atlanta	Atlanta
baltimore	Baltimore
bangkok	Bangkok
berkeley	Berkeley
boise	Boise
bronx	Bronx
brooklyn	Brooklyn
budapest	Budapest
cincinnati	Cincinnati
cleveland	Cleveland
connecticut	Connecticut
copenhagen	Copenhagen
dakota	Dakota
dallas	Dallas
delaware	Delaware
denver	Denver
detroit	Detroit
dubai	Dubai
dublin	Dublin
fresno	Fresno
hampshire	Hampshire
hanoi	Hanoi
helsinki	Helsinki
honolulu	Honolulu
houston	Houston
idaho	Idaho
indiana	Indiana
indianapolis	Indianapolis
iowa	Iowa
jacksonville	Jacksonville
jakarta	Jakarta
kansas	Kansas
kentucky	Kentucky
krabi	Krabi
kyoto	Kyoto
lisbon	Lisbon
louisiana	Louisiana
louisville	Louisville
maine	Maine
manhattan	Manhattan
manila	Manila
melbourne	Melbourne
memphis	Memphis
michigan	Michigan
milwaukee	Milwaukee
minneapolis	Minneapolis
minnesota	Minnesota
missouri	Missouri
montana	Montana
mumbai	Mumbai
nashville	Nashville
nebraska	Nebraska
nevada	Nevada
oakland	Oakland
oklahoma	Oklahoma
omaha	Omaha
oregon	Oregon
orlando	Orlando
osaka	Osaka
oslo	Oslo
pasadena	Pasadena
pattaya	Pattaya
philadelphia	Philadelphia
philly	Philly
phoenix	Phoenix
phuket	Phuket
pittsburgh	Pittsburgh
portland	Portland
prague	Prague
raleigh	Raleigh
reno	Reno
rhode	Rhode
richmond	Richmond
sacramento	Sacramento
saigon	Saigon
seoul	Seoul
spokane	Spokane
tacoma	Tacoma
taipei	Taipei
tampa	Tampa
tennessee	Tennessee
tucson	Tucson
tulsa	Tulsa
utah	Utah
vermont	Vermont
